,nooffloors,NATIONAL_RISK_INDEX,FLOODING_RISK_SCORE,POPULATION,MEDIAN_HHI,MEDIAN_HV,PCT_UNINSURED,UNEMPLOYMENT_RATE,transport_warehouse_employment_pct,closest_shipping,buildingage,nra,singletenant,IS_URBAN,IS_SUBURBAN,IS_RURAL,IS_LEED_CERTIFIED,IS_ESTAR_CERTIFIED,noi_per_sqft
Property 90,1,33.6112323,7.274859608,2853836,89303,539399,0.05634289,0.052914163,0.083099787,9.106432518,8,142254,0,0,1,0,0,0,62.34576184
Property 91,1,16.50523525,9.633679228,2032887,68701,237528,0.086574415,0.040936576,0.055945476,7.93240768,13,223827,0,0,1,0,0,0,23.5951499
Property 92,1,19.70160197,17.78679358,4399915,62709,359300,0.151551288,0.057852837,0.096322006,2.512446679,4,125066,0,0,1,0,0,0,40.81228357
Property 93,1,23.02912042,6.86981084,10558375,74465,677832,0.097209346,0.091999745,0.047882188,10.08301982,29,132260,0,0,1,0,0,0,76.95297905
Property 94,1,35.94633895,18.28672082,6029281,84183,584217,0.085779306,0.072504034,0.129379513,7.065136999,23,542640,1,0,1,0,0,0,63.20037519
Property 95,1,13.91559168,12.18383436,3685392,68124,260445,0.130212624,0.040858911,0.155451613,1.588437613,20,74360,0,0,1,0,0,0,27.40874933
Property 96,1,38.43464169,29.84895765,3867266,91728,610416,0.055256039,0.048704874,0.046947341,4.437720777,15,72000,0,1,0,0,1,0,56.75348835
Property 97,1,29.22165809,5.660085644,2929269,87027,510668,0.056865694,0.053315808,0.077995719,1.580223558,19,517350,0,0,1,0,0,0,63.0678667
Property 98,1,29.22165809,5.660085644,2914931,86922,508815,0.056996778,0.053271906,0.077803687,1.005821662,21,474403,1,0,1,0,0,0,52.47294837
Property 99,1,26.69177139,8.619711267,3534145,127238,1565028,0.039056879,0.049768114,0.018083029,5.1776948,33,900870,1,0,1,0,0,0,154.8674811
Property 100,1,16.11560754,7.312074818,6226829,75407,283837,0.162894593,0.054290624,0.073934822,9.558715901,4,1400000,0,0,1,0,0,0,35.30771788
